product_id,brand_name,product_name,ingredient_id
4,Decorté,Liposome Advanced Repair Serum,-78
4,Decorté,Liposome Advanced Repair Serum,-53
4,Decorté,Liposome Advanced Repair Serum,-79
4,Decorté,Liposome Advanced Repair Serum,-80
4,Decorté,Liposome Advanced Repair Serum,-81
4,Decorté,Liposome Advanced Repair Serum,-82
4,Decorté,Liposome Advanced Repair Serum,-83
4,Decorté,Liposome Advanced Repair Serum,-19
4,Decorté,Liposome Advanced Repair Serum,-84
4,Decorté,Liposome Advanced Repair Serum,-23
4,Decorté,Liposome Advanced Repair Serum,-85
4,Decorté,Liposome Advanced Repair Serum,-86
4,Decorté,Liposome Advanced Repair Serum,-87
4,Decorté,Liposome Advanced Repair Serum,-88
4,Decorté,Liposome Advanced Repair Serum,-17
4,Decorté,Liposome Advanced Repair Serum,-89
4,Decorté,Liposome Advanced Repair Serum,-41
4,Decorté,Liposome Advanced Repair Serum,-37
4,Decorté,Liposome Advanced Repair Serum,-90
4,Decorté,Liposome Advanced Repair Serum,-60
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,6
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-91
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,9
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-92
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-93
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-94
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-96
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-97
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-99
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-100
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-101
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-102
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-103
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-104
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-105
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-106
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-107
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-108
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-109
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-111
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-112
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-113
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-114
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-115
5,Clinique,All About Eyes™ Eye Cream with Vitamin C,-116
